,text,intent
161,potresti raggiungere il cespo ,Reach
162,raggiungi questa palla ,Reach
163,vai dove sta questa palla ,Reach
164,vai dove si trova questa palla ,Reach
165,vai in corrispondenza di questa palla ,Reach
166,recati dove sta questa palla ,Reach
167,recati dove si trova questa palla ,Reach
168,recati in corrispondenza di questa palla ,Reach
169,andresti dove sta questa palla ,Reach
170,andresti dove si trova questa palla ,Reach
171,andresti in corrispondenza di questa palla ,Reach
172,ti recheresti dove sta questa palla ,Reach
173,ti recheresti dove si trova questa palla ,Reach
174,ti recheresti in corrispondenza di questa palla ,Reach
175,puoi andare dove sta questa palla ,Reach
176,puoi andare dove si trova questa palla ,Reach
177,puoi andare in corrispondenza di questa palla ,Reach
178,potresti andare dove sta questa palla ,Reach
179,potresti andare dove si trova questa palla ,Reach
180,potresti andare in corrispondenza di questa palla ,Reach
181,puoi recarti dove sta questa palla ,Reach
182,puoi recarti dove si trova questa palla ,Reach
183,puoi recarti in corrispondenza di questa palla ,Reach
184,potresti recarti dove sta questa palla ,Reach
185,potresti recarti dove si trova questa palla ,Reach
186,potresti recarti in corrispondenza di questa palla ,Reach
187,puoi raggiungere questa palla ,Reach
188,potresti raggiungere questa palla ,Reach
189,raggiungi quella palla ,Reach
190,vai dove sta quella palla ,Reach
191,vai dove si trova quella palla ,Reach
192,vai in corrispondenza di quella palla ,Reach
193,recati dove sta quella palla ,Reach
194,recati dove si trova quella palla ,Reach
195,recati in corrispondenza di quella palla ,Reach
196,andresti dove sta quella palla ,Reach
197,andresti dove si trova quella palla ,Reach
198,andresti in corrispondenza di quella palla ,Reach
199,ti recheresti dove sta quella palla ,Reach
200,ti recheresti dove si trova quella palla ,Reach
201,ti recheresti in corrispondenza di quella palla ,Reach
202,puoi andare dove sta quella palla ,Reach
203,puoi andare dove si trova quella palla ,Reach
204,puoi andare in corrispondenza di quella palla ,Reach
205,potresti andare dove sta quella palla ,Reach
206,potresti andare dove si trova quella palla ,Reach
207,potresti andare in corrispondenza di quella palla ,Reach
208,puoi recarti dove sta quella palla ,Reach
209,puoi recarti dove si trova quella palla ,Reach
210,puoi recarti in corrispondenza di quella palla ,Reach
211,potresti recarti dove sta quella palla ,Reach
212,potresti recarti dove si trova quella palla ,Reach
213,potresti recarti in corrispondenza di quella palla ,Reach
214,puoi raggiungere quella palla ,Reach
215,potresti raggiungere quella palla ,Reach
216,raggiungi la palla ,Reach
217,vai dove sta la palla ,Reach
218,vai dove si trova la palla ,Reach
219,vai in corrispondenza di la palla ,Reach
220,recati dove sta la palla ,Reach
221,recati dove si trova la palla ,Reach
222,recati in corrispondenza di la palla ,Reach
223,andresti dove sta la palla ,Reach
224,andresti dove si trova la palla ,Reach
225,andresti in corrispondenza di la palla ,Reach
226,ti recheresti dove sta la palla ,Reach
227,ti recheresti dove si trova la palla ,Reach
228,ti recheresti in corrispondenza di la palla ,Reach
229,puoi andare dove sta la palla ,Reach
230,puoi andare dove si trova la palla ,Reach
231,puoi andare in corrispondenza di la palla ,Reach
232,potresti andare dove sta la palla ,Reach
233,potresti andare dove si trova la palla ,Reach
234,potresti andare in corrispondenza di la palla ,Reach
235,puoi recarti dove sta la palla ,Reach
236,puoi recarti dove si trova la palla ,Reach
237,puoi recarti in corrispondenza di la palla ,Reach
238,potresti recarti dove sta la palla ,Reach
239,potresti recarti dove si trova la palla ,Reach
240,potresti recarti in corrispondenza di la palla ,Reach
241,puoi raggiungere la palla ,Reach
242,potresti raggiungere la palla ,Reach
243,raggiungi questa sfera ,Reach
244,vai dove sta questa sfera ,Reach
245,vai dove si trova questa sfera ,Reach
246,vai in corrispondenza di questa sfera ,Reach
247,recati dove sta questa sfera ,Reach
248,recati dove si trova questa sfera ,Reach
249,recati in corrispondenza di questa sfera ,Reach
250,andresti dove sta questa sfera ,Reach
251,andresti dove si trova questa sfera ,Reach
252,andresti in corrispondenza di questa sfera ,Reach
253,ti recheresti dove sta questa sfera ,Reach
254,ti recheresti dove si trova questa sfera ,Reach
255,ti recheresti in corrispondenza di questa sfera ,Reach
256,puoi andare dove sta questa sfera ,Reach
257,puoi andare dove si trova questa sfera ,Reach
258,puoi andare in corrispondenza di questa sfera ,Reach
259,potresti andare dove sta questa sfera ,Reach
260,potresti andare dove si trova questa sfera ,Reach
261,potresti andare in corrispondenza di questa sfera ,Reach
262,puoi recarti dove sta questa sfera ,Reach
263,puoi recarti dove si trova questa sfera ,Reach
264,puoi recarti in corrispondenza di questa sfera ,Reach
265,potresti recarti dove sta questa sfera ,Reach
266,potresti recarti dove si trova questa sfera ,Reach
267,potresti recarti in corrispondenza di questa sfera ,Reach
268,puoi raggiungere questa sfera ,Reach
269,potresti raggiungere questa sfera ,Reach
270,raggiungi quella sfera ,Reach
271,vai dove sta quella sfera ,Reach
272,vai dove si trova quella sfera ,Reach
273,vai in corrispondenza di quella sfera ,Reach
274,recati dove sta quella sfera ,Reach
275,recati dove si trova quella sfera ,Reach
276,recati in corrispondenza di quella sfera ,Reach
277,andresti dove sta quella sfera ,Reach
278,andresti dove si trova quella sfera ,Reach
279,andresti in corrispondenza di quella sfera ,Reach
280,ti recheresti dove sta quella sfera ,Reach
281,ti recheresti dove si trova quella sfera ,Reach
282,ti recheresti in corrispondenza di quella sfera ,Reach
283,puoi andare dove sta quella sfera ,Reach
284,puoi andare dove si trova quella sfera ,Reach
285,puoi andare in corrispondenza di quella sfera ,Reach
286,potresti andare dove sta quella sfera ,Reach
287,potresti andare dove si trova quella sfera ,Reach
288,potresti andare in corrispondenza di quella sfera ,Reach
289,puoi recarti dove sta quella sfera ,Reach
290,puoi recarti dove si trova quella sfera ,Reach
291,puoi recarti in corrispondenza di quella sfera ,Reach
292,potresti recarti dove sta quella sfera ,Reach
293,potresti recarti dove si trova quella sfera ,Reach
294,potresti recarti in corrispondenza di quella sfera ,Reach
295,puoi raggiungere quella sfera ,Reach
296,potresti raggiungere quella sfera ,Reach
297,raggiungi la sfera ,Reach
298,vai dove sta la sfera ,Reach
299,vai dove si trova la sfera ,Reach
300,vai in corrispondenza di la sfera ,Reach
301,recati dove sta la sfera ,Reach
302,recati dove si trova la sfera ,Reach
303,recati in corrispondenza di la sfera ,Reach
304,andresti dove sta la sfera ,Reach
305,andresti dove si trova la sfera ,Reach
306,andresti in corrispondenza di la sfera ,Reach
307,ti recheresti dove sta la sfera ,Reach
308,ti recheresti dove si trova la sfera ,Reach
309,ti recheresti in corrispondenza di la sfera ,Reach
310,puoi andare dove sta la sfera ,Reach
311,puoi andare dove si trova la sfera ,Reach
312,puoi andare in corrispondenza di la sfera ,Reach
313,potresti andare dove sta la sfera ,Reach
314,potresti andare dove si trova la sfera ,Reach
315,potresti andare in corrispondenza di la sfera ,Reach
316,puoi recarti dove sta la sfera ,Reach
317,puoi recarti dove si trova la sfera ,Reach
318,puoi recarti in corrispondenza di la sfera ,Reach
319,potresti recarti dove sta la sfera ,Reach
320,potresti recarti dove si trova la sfera ,Reach
321,potresti recarti in corrispondenza di la sfera ,Reach
322,puoi raggiungere la sfera ,Reach
323,potresti raggiungere la sfera ,Reach
324,raggiungi questo pallone ,Reach
325,vai dove sta questo pallone ,Reach
326,vai dove si trova questo pallone ,Reach
327,vai in corrispondenza di questo pallone ,Reach
328,recati dove sta questo pallone ,Reach
329,recati dove si trova questo pallone ,Reach
330,recati in corrispondenza di questo pallone ,Reach
331,andresti dove sta questo pallone ,Reach
332,andresti dove si trova questo pallone ,Reach
333,andresti in corrispondenza di questo pallone ,Reach
334,ti recheresti dove sta questo pallone ,Reach
335,ti recheresti dove si trova questo pallone ,Reach
336,ti recheresti in corrispondenza di questo pallone ,Reach
337,puoi andare dove sta questo pallone ,Reach
338,puoi andare dove si trova questo pallone ,Reach
339,puoi andare in corrispondenza di questo pallone ,Reach
340,potresti andare dove sta questo pallone ,Reach
341,potresti andare dove si trova questo pallone ,Reach
342,potresti andare in corrispondenza di questo pallone ,Reach
343,puoi recarti dove sta questo pallone ,Reach
344,puoi recarti dove si trova questo pallone ,Reach
345,puoi recarti in corrispondenza di questo pallone ,Reach
346,potresti recarti dove sta questo pallone ,Reach
347,potresti recarti dove si trova questo pallone ,Reach
348,potresti recarti in corrispondenza di questo pallone ,Reach
349,puoi raggiungere questo pallone ,Reach
350,potresti raggiungere questo pallone ,Reach
351,raggiungi quel pallone ,Reach
352,vai dove sta quel pallone ,Reach
353,vai dove si trova quel pallone ,Reach
354,vai in corrispondenza di quel pallone ,Reach
355,recati dove sta quel pallone ,Reach
356,recati dove si trova quel pallone ,Reach
357,recati in corrispondenza di quel pallone ,Reach
358,andresti dove sta quel pallone ,Reach
359,andresti dove si trova quel pallone ,Reach
360,andresti in corrispondenza di quel pallone ,Reach
361,ti recheresti dove sta quel pallone ,Reach
362,ti recheresti dove si trova quel pallone ,Reach
363,ti recheresti in corrispondenza di quel pallone ,Reach
364,puoi andare dove sta quel pallone ,Reach
365,puoi andare dove si trova quel pallone ,Reach
366,puoi andare in corrispondenza di quel pallone ,Reach
367,potresti andare dove sta quel pallone ,Reach
368,potresti andare dove si trova quel pallone ,Reach
369,potresti andare in corrispondenza di quel pallone ,Reach
370,puoi recarti dove sta quel pallone ,Reach
371,puoi recarti dove si trova quel pallone ,Reach
372,puoi recarti in corrispondenza di quel pallone ,Reach
373,potresti recarti dove sta quel pallone ,Reach
374,potresti recarti dove si trova quel pallone ,Reach
375,potresti recarti in corrispondenza di quel pallone ,Reach
376,puoi raggiungere quel pallone ,Reach
377,potresti raggiungere quel pallone ,Reach
378,raggiungi il pallone ,Reach
379,vai dove sta il pallone ,Reach
380,vai dove si trova il pallone ,Reach
381,vai in corrispondenza di il pallone ,Reach
382,recati dove sta il pallone ,Reach
383,recati dove si trova il pallone ,Reach
384,recati in corrispondenza di il pallone ,Reach
385,andresti dove sta il pallone ,Reach
386,andresti dove si trova il pallone ,Reach
387,andresti in corrispondenza di il pallone ,Reach
388,ti recheresti dove sta il pallone ,Reach
389,ti recheresti dove si trova il pallone ,Reach
390,ti recheresti in corrispondenza di il pallone ,Reach
391,puoi andare dove sta il pallone ,Reach
392,puoi andare dove si trova il pallone ,Reach
393,puoi andare in corrispondenza di il pallone ,Reach
394,potresti andare dove sta il pallone ,Reach
395,potresti andare dove si trova il pallone ,Reach
396,potresti andare in corrispondenza di il pallone ,Reach
397,puoi recarti dove sta il pallone ,Reach
398,puoi recarti dove si trova il pallone ,Reach
399,puoi recarti in corrispondenza di il pallone ,Reach
400,potresti recarti dove sta il pallone ,Reach
401,potresti recarti dove si trova il pallone ,Reach
402,potresti recarti in corrispondenza di il pallone ,Reach
403,puoi raggiungere il pallone ,Reach
404,potresti raggiungere il pallone ,Reach
405,raggiungi questo fuoco ,Reach
406,vai dove sta questo fuoco ,Reach
407,vai dove si trova questo fuoco ,Reach
408,vai in corrispondenza di questo fuoco ,Reach
409,recati dove sta questo fuoco ,Reach
410,recati dove si trova questo fuoco ,Reach
411,recati in corrispondenza di questo fuoco ,Reach
412,andresti dove sta questo fuoco ,Reach
413,andresti dove si trova questo fuoco ,Reach
414,andresti in corrispondenza di questo fuoco ,Reach
415,ti recheresti dove sta questo fuoco ,Reach
416,ti recheresti dove si trova questo fuoco ,Reach
417,ti recheresti in corrispondenza di questo fuoco ,Reach
418,puoi andare dove sta questo fuoco ,Reach
419,puoi andare dove si trova questo fuoco ,Reach
420,puoi andare in corrispondenza di questo fuoco ,Reach
421,potresti andare dove sta questo fuoco ,Reach
422,potresti andare dove si trova questo fuoco ,Reach
423,potresti andare in corrispondenza di questo fuoco ,Reach
424,puoi recarti dove sta questo fuoco ,Reach
425,puoi recarti dove si trova questo fuoco ,Reach
426,puoi recarti in corrispondenza di questo fuoco ,Reach
427,potresti recarti dove sta questo fuoco ,Reach
428,potresti recarti dove si trova questo fuoco ,Reach
429,potresti recarti in corrispondenza di questo fuoco ,Reach
430,puoi raggiungere questo fuoco ,Reach
431,potresti raggiungere questo fuoco ,Reach
432,raggiungi quel fuoco ,Reach
433,vai dove sta quel fuoco ,Reach
434,vai dove si trova quel fuoco ,Reach
435,vai in corrispondenza di quel fuoco ,Reach
436,recati dove sta quel fuoco ,Reach
437,recati dove si trova quel fuoco ,Reach
438,recati in corrispondenza di quel fuoco ,Reach
439,andresti dove sta quel fuoco ,Reach
440,andresti dove si trova quel fuoco ,Reach
441,andresti in corrispondenza di quel fuoco ,Reach
442,ti recheresti dove sta quel fuoco ,Reach
443,ti recheresti dove si trova quel fuoco ,Reach
444,ti recheresti in corrispondenza di quel fuoco ,Reach
445,puoi andare dove sta quel fuoco ,Reach
446,puoi andare dove si trova quel fuoco ,Reach
447,puoi andare in corrispondenza di quel fuoco ,Reach
448,potresti andare dove sta quel fuoco ,Reach
449,potresti andare dove si trova quel fuoco ,Reach
450,potresti andare in corrispondenza di quel fuoco ,Reach
451,puoi recarti dove sta quel fuoco ,Reach
452,puoi recarti dove si trova quel fuoco ,Reach
453,puoi recarti in corrispondenza di quel fuoco ,Reach
454,potresti recarti dove sta quel fuoco ,Reach
455,potresti recarti dove si trova quel fuoco ,Reach
456,potresti recarti in corrispondenza di quel fuoco ,Reach
457,puoi raggiungere quel fuoco ,Reach
458,potresti raggiungere quel fuoco ,Reach
459,raggiungi il fuoco ,Reach
460,vai dove sta il fuoco ,Reach
461,vai dove si trova il fuoco ,Reach
462,vai in corrispondenza di il fuoco ,Reach
463,recati dove sta il fuoco ,Reach
464,recati dove si trova il fuoco ,Reach
465,recati in corrispondenza di il fuoco ,Reach
466,andresti dove sta il fuoco ,Reach
467,andresti dove si trova il fuoco ,Reach
468,andresti in corrispondenza di il fuoco ,Reach
469,ti recheresti dove sta il fuoco ,Reach
470,ti recheresti dove si trova il fuoco ,Reach
471,ti recheresti in corrispondenza di il fuoco ,Reach
472,puoi andare dove sta il fuoco ,Reach
473,puoi andare dove si trova il fuoco ,Reach
474,puoi andare in corrispondenza di il fuoco ,Reach
475,potresti andare dove sta il fuoco ,Reach
476,potresti andare dove si trova il fuoco ,Reach
477,potresti andare in corrispondenza di il fuoco ,Reach
478,puoi recarti dove sta il fuoco ,Reach
479,puoi recarti dove si trova il fuoco ,Reach
480,puoi recarti in corrispondenza di il fuoco ,Reach
481,potresti recarti dove sta il fuoco ,Reach
482,potresti recarti dove si trova il fuoco ,Reach
483,potresti recarti in corrispondenza di il fuoco ,Reach
484,puoi raggiungere il fuoco ,Reach
485,potresti raggiungere il fuoco ,Reach
486,raggiungi questo falò ,Reach
487,vai dove sta questo falò ,Reach
488,vai dove si trova questo falò ,Reach
489,vai in corrispondenza di questo falò ,Reach
490,recati dove sta questo falò ,Reach
491,recati dove si trova questo falò ,Reach
492,recati in corrispondenza di questo falò ,Reach
493,andresti dove sta questo falò ,Reach
494,andresti dove si trova questo falò ,Reach
495,andresti in corrispondenza di questo falò ,Reach
496,ti recheresti dove sta questo falò ,Reach
497,ti recheresti dove si trova questo falò ,Reach
498,ti recheresti in corrispondenza di questo falò ,Reach
499,puoi andare dove sta questo falò ,Reach
500,puoi andare dove si trova questo falò ,Reach
501,puoi andare in corrispondenza di questo falò ,Reach
502,potresti andare dove sta questo falò ,Reach
503,potresti andare dove si trova questo falò ,Reach
504,potresti andare in corrispondenza di questo falò ,Reach
505,puoi recarti dove sta questo falò ,Reach
506,puoi recarti dove si trova questo falò ,Reach
507,puoi recarti in corrispondenza di questo falò ,Reach
508,potresti recarti dove sta questo falò ,Reach
509,potresti recarti dove si trova questo falò ,Reach
510,potresti recarti in corrispondenza di questo falò ,Reach
511,puoi raggiungere questo falò ,Reach
512,potresti raggiungere questo falò ,Reach
513,raggiungi quel falò ,Reach
514,vai dove sta quel falò ,Reach
515,vai dove si trova quel falò ,Reach
516,vai in corrispondenza di quel falò ,Reach
517,recati dove sta quel falò ,Reach
518,recati dove si trova quel falò ,Reach
519,recati in corrispondenza di quel falò ,Reach
520,andresti dove sta quel falò ,Reach
521,andresti dove si trova quel falò ,Reach
522,andresti in corrispondenza di quel falò ,Reach
523,ti recheresti dove sta quel falò ,Reach
524,ti recheresti dove si trova quel falò ,Reach
525,ti recheresti in corrispondenza di quel falò ,Reach
526,puoi andare dove sta quel falò ,Reach
527,puoi andare dove si trova quel falò ,Reach
528,puoi andare in corrispondenza di quel falò ,Reach
529,potresti andare dove sta quel falò ,Reach
530,potresti andare dove si trova quel falò ,Reach
531,potresti andare in corrispondenza di quel falò ,Reach
532,puoi recarti dove sta quel falò ,Reach
533,puoi recarti dove si trova quel falò ,Reach
534,puoi recarti in corrispondenza di quel falò ,Reach
535,potresti recarti dove sta quel falò ,Reach
536,potresti recarti dove si trova quel falò ,Reach
537,potresti recarti in corrispondenza di quel falò ,Reach
538,puoi raggiungere quel falò ,Reach
539,potresti raggiungere quel falò ,Reach
540,raggiungi il falò ,Reach
541,vai dove sta il falò ,Reach
542,vai dove si trova il falò ,Reach
543,vai in corrispondenza di il falò ,Reach
544,recati dove sta il falò ,Reach
545,recati dove si trova il falò ,Reach
546,recati in corrispondenza di il falò ,Reach
547,andresti dove sta il falò ,Reach
548,andresti dove si trova il falò ,Reach
549,andresti in corrispondenza di il falò ,Reach
550,ti recheresti dove sta il falò ,Reach
551,ti recheresti dove si trova il falò ,Reach
552,ti recheresti in corrispondenza di il falò ,Reach
553,puoi andare dove sta il falò ,Reach
554,puoi andare dove si trova il falò ,Reach
555,puoi andare in corrispondenza di il falò ,Reach
556,potresti andare dove sta il falò ,Reach
557,potresti andare dove si trova il falò ,Reach
558,potresti andare in corrispondenza di il falò ,Reach
559,puoi recarti dove sta il falò ,Reach
560,puoi recarti dove si trova il falò ,Reach
561,puoi recarti in corrispondenza di il falò ,Reach
562,potresti recarti dove sta il falò ,Reach
563,potresti recarti dove si trova il falò ,Reach
564,potresti recarti in corrispondenza di il falò ,Reach
565,puoi raggiungere il falò ,Reach
566,potresti raggiungere il falò ,Reach
567,raggiungi questo falo ,Reach
568,vai dove sta questo falo ,Reach
569,vai dove si trova questo falo ,Reach
570,vai in corrispondenza di questo falo ,Reach
571,recati dove sta questo falo ,Reach
572,recati dove si trova questo falo ,Reach
573,recati in corrispondenza di questo falo ,Reach
574,andresti dove sta questo falo ,Reach
575,andresti dove si trova questo falo ,Reach
576,andresti in corrispondenza di questo falo ,Reach
577,ti recheresti dove sta questo falo ,Reach
578,ti recheresti dove si trova questo falo ,Reach
579,ti recheresti in corrispondenza di questo falo ,Reach
580,puoi andare dove sta questo falo ,Reach
581,puoi andare dove si trova questo falo ,Reach
582,puoi andare in corrispondenza di questo falo ,Reach
583,potresti andare dove sta questo falo ,Reach
584,potresti andare dove si trova questo falo ,Reach
585,potresti andare in corrispondenza di questo falo ,Reach
586,puoi recarti dove sta questo falo ,Reach
587,puoi recarti dove si trova questo falo ,Reach
588,puoi recarti in corrispondenza di questo falo ,Reach
589,potresti recarti dove sta questo falo ,Reach
590,potresti recarti dove si trova questo falo ,Reach
591,potresti recarti in corrispondenza di questo falo ,Reach
592,puoi raggiungere questo falo ,Reach
593,potresti raggiungere questo falo ,Reach
594,raggiungi quel falo ,Reach
595,vai dove sta quel falo ,Reach
596,vai dove si trova quel falo ,Reach
597,vai in corrispondenza di quel falo ,Reach
598,recati dove sta quel falo ,Reach
599,recati dove si trova quel falo ,Reach
600,recati in corrispondenza di quel falo ,Reach
601,andresti dove sta quel falo ,Reach
602,andresti dove si trova quel falo ,Reach
603,andresti in corrispondenza di quel falo ,Reach
604,ti recheresti dove sta quel falo ,Reach
605,ti recheresti dove si trova quel falo ,Reach
606,ti recheresti in corrispondenza di quel falo ,Reach
607,puoi andare dove sta quel falo ,Reach
608,puoi andare dove si trova quel falo ,Reach
609,puoi andare in corrispondenza di quel falo ,Reach
610,potresti andare dove sta quel falo ,Reach
611,potresti andare dove si trova quel falo ,Reach
612,potresti andare in corrispondenza di quel falo ,Reach
613,puoi recarti dove sta quel falo ,Reach
614,puoi recarti dove si trova quel falo ,Reach
615,puoi recarti in corrispondenza di quel falo ,Reach
616,potresti recarti dove sta quel falo ,Reach
617,potresti recarti dove si trova quel falo ,Reach
618,potresti recarti in corrispondenza di quel falo ,Reach
619,puoi raggiungere quel falo ,Reach
620,potresti raggiungere quel falo ,Reach
621,raggiungi il falo ,Reach
622,vai dove sta il falo ,Reach
623,vai dove si trova il falo ,Reach
