,sentence_idx,word,tag
283,48,recarti,O
284,48,dove,O
285,48,si,O
286,48,trova,O
287,48,quel,O
288,48,cespuglio,B-ToReach
289,49,puoi,O
290,49,recarti,O
291,49,in,O
292,49,corrispondenza,O
293,49,di,O
294,49,quel,O
295,49,cespuglio,B-ToReach
296,50,potresti,O
297,50,recarti,O
298,50,dove,O
299,50,sta,O
300,50,quel,O
301,50,cespuglio,B-ToReach
302,51,potresti,O
303,51,recarti,O
304,51,dove,O
305,51,si,O
306,51,trova,O
307,51,quel,O
308,51,cespuglio,B-ToReach
309,52,potresti,O
310,52,recarti,O
311,52,in,O
312,52,corrispondenza,O
313,52,di,O
314,52,quel,O
315,52,cespuglio,B-ToReach
316,53,puoi,O
317,53,raggiungere,O
318,53,quel,O
319,53,cespuglio,B-ToReach
320,54,potresti,O
321,54,raggiungere,O
322,54,quel,O
323,54,cespuglio,B-ToReach
324,55,raggiungi,O
325,55,il,O
326,55,cespuglio,B-ToReach
327,56,vai,O
328,56,dove,O
329,56,sta,O
330,56,il,O
331,56,cespuglio,B-ToReach
332,57,vai,O
333,57,dove,O
334,57,si,O
335,57,trova,O
336,57,il,O
337,57,cespuglio,B-ToReach
338,58,vai,O
339,58,in,O
340,58,corrispondenza,O
341,58,di,O
342,58,il,O
343,58,cespuglio,B-ToReach
344,59,recati,O
345,59,dove,O
346,59,sta,O
347,59,il,O
348,59,cespuglio,B-ToReach
349,60,recati,O
350,60,dove,O
351,60,si,O
352,60,trova,O
353,60,il,O
354,60,cespuglio,B-ToReach
355,61,recati,O
356,61,in,O
357,61,corrispondenza,O
358,61,di,O
359,61,il,O
360,61,cespuglio,B-ToReach
361,62,andresti,O
362,62,dove,O
363,62,sta,O
364,62,il,O
365,62,cespuglio,B-ToReach
366,63,andresti,O
367,63,dove,O
368,63,si,O
369,63,trova,O
370,63,il,O
371,63,cespuglio,B-ToReach
372,64,andresti,O
373,64,in,O
374,64,corrispondenza,O
375,64,di,O
376,64,il,O
377,64,cespuglio,B-ToReach
378,65,ti,O
379,65,recheresti,O
380,65,dove,O
381,65,sta,O
382,65,il,O
383,65,cespuglio,B-ToReach
384,66,ti,O
385,66,recheresti,O
386,66,dove,O
387,66,si,O
388,66,trova,O
389,66,il,O
390,66,cespuglio,B-ToReach
391,67,ti,O
392,67,recheresti,O
393,67,in,O
394,67,corrispondenza,O
395,67,di,O
396,67,il,O
397,67,cespuglio,B-ToReach
398,68,puoi,O
399,68,andare,O
400,68,dove,O
401,68,sta,O
402,68,il,O
403,68,cespuglio,B-ToReach
404,69,puoi,O
405,69,andare,O
406,69,dove,O
407,69,si,O
408,69,trova,O
409,69,il,O
410,69,cespuglio,B-ToReach
411,70,puoi,O
412,70,andare,O
413,70,in,O
414,70,corrispondenza,O
415,70,di,O
416,70,il,O
417,70,cespuglio,B-ToReach
418,71,potresti,O
419,71,andare,O
420,71,dove,O
421,71,sta,O
422,71,il,O
423,71,cespuglio,B-ToReach
424,72,potresti,O
425,72,andare,O
426,72,dove,O
427,72,si,O
428,72,trova,O
429,72,il,O
430,72,cespuglio,B-ToReach
431,73,potresti,O
432,73,andare,O
433,73,in,O
434,73,corrispondenza,O
435,73,di,O
436,73,il,O
437,73,cespuglio,B-ToReach
438,74,puoi,O
439,74,recarti,O
440,74,dove,O
441,74,sta,O
442,74,il,O
443,74,cespuglio,B-ToReach
444,75,puoi,O
445,75,recarti,O
446,75,dove,O
447,75,si,O
448,75,trova,O
449,75,il,O
450,75,cespuglio,B-ToReach
451,76,puoi,O
452,76,recarti,O
453,76,in,O
454,76,corrispondenza,O
455,76,di,O
456,76,il,O
457,76,cespuglio,B-ToReach
458,77,potresti,O
459,77,recarti,O
460,77,dove,O
461,77,sta,O
462,77,il,O
463,77,cespuglio,B-ToReach
464,78,potresti,O
465,78,recarti,O
466,78,dove,O
467,78,si,O
468,78,trova,O
469,78,il,O
470,78,cespuglio,B-ToReach
471,79,potresti,O
472,79,recarti,O
473,79,in,O
474,79,corrispondenza,O
475,79,di,O
476,79,il,O
477,79,cespuglio,B-ToReach
478,80,puoi,O
479,80,raggiungere,O
480,80,il,O
481,80,cespuglio,B-ToReach
482,81,potresti,O
483,81,raggiungere,O
484,81,il,O
485,81,cespuglio,B-ToReach
486,82,raggiungi,O
487,82,questo,O
488,82,cespo,B-ToReach
489,83,vai,O
490,83,dove,O
491,83,sta,O
492,83,questo,O
493,83,cespo,B-ToReach
494,84,vai,O
495,84,dove,O
496,84,si,O
497,84,trova,O
498,84,questo,O
499,84,cespo,B-ToReach
500,85,vai,O
501,85,in,O
502,85,corrispondenza,O
503,85,di,O
504,85,questo,O
505,85,cespo,B-ToReach
506,86,recati,O
507,86,dove,O
508,86,sta,O
509,86,questo,O
510,86,cespo,B-ToReach
511,87,recati,O
512,87,dove,O
513,87,si,O
514,87,trova,O
515,87,questo,O
516,87,cespo,B-ToReach
517,88,recati,O
518,88,in,O
519,88,corrispondenza,O
520,88,di,O
521,88,questo,O
522,88,cespo,B-ToReach
523,89,andresti,O
524,89,dove,O
525,89,sta,O
526,89,questo,O
527,89,cespo,B-ToReach
528,90,andresti,O
529,90,dove,O
530,90,si,O
531,90,trova,O
532,90,questo,O
533,90,cespo,B-ToReach
534,91,andresti,O
535,91,in,O
536,91,corrispondenza,O
537,91,di,O
538,91,questo,O
539,91,cespo,B-ToReach
540,92,ti,O
541,92,recheresti,O
542,92,dove,O
543,92,sta,O
544,92,questo,O
545,92,cespo,B-ToReach
546,93,ti,O
547,93,recheresti,O
548,93,dove,O
549,93,si,O
550,93,trova,O
551,93,questo,O
552,93,cespo,B-ToReach
553,94,ti,O
554,94,recheresti,O
555,94,in,O
556,94,corrispondenza,O
557,94,di,O
558,94,questo,O
559,94,cespo,B-ToReach
560,95,puoi,O
561,95,andare,O
562,95,dove,O
563,95,sta,O
564,95,questo,O
565,95,cespo,B-ToReach
566,96,puoi,O
567,96,andare,O
568,96,dove,O
569,96,si,O
570,96,trova,O
571,96,questo,O
572,96,cespo,B-ToReach
573,97,puoi,O
574,97,andare,O
575,97,in,O
576,97,corrispondenza,O
577,97,di,O
578,97,questo,O
579,97,cespo,B-ToReach
580,98,potresti,O
581,98,andare,O
582,98,dove,O
583,98,sta,O
584,98,questo,O
585,98,cespo,B-ToReach
586,99,potresti,O
587,99,andare,O
588,99,dove,O
589,99,si,O
590,99,trova,O
591,99,questo,O
592,99,cespo,B-ToReach
593,100,potresti,O
594,100,andare,O
595,100,in,O
596,100,corrispondenza,O
597,100,di,O
598,100,questo,O
599,100,cespo,B-ToReach
600,101,puoi,O
601,101,recarti,O
602,101,dove,O
603,101,sta,O
604,101,questo,O
605,101,cespo,B-ToReach
606,102,puoi,O
607,102,recarti,O
608,102,dove,O
609,102,si,O
610,102,trova,O
611,102,questo,O
612,102,cespo,B-ToReach
613,103,puoi,O
614,103,recarti,O
615,103,in,O
616,103,corrispondenza,O
617,103,di,O
618,103,questo,O
619,103,cespo,B-ToReach
620,104,potresti,O
621,104,recarti,O
622,104,dove,O
623,104,sta,O
624,104,questo,O
625,104,cespo,B-ToReach
626,105,potresti,O
627,105,recarti,O
628,105,dove,O
629,105,si,O
630,105,trova,O
631,105,questo,O
632,105,cespo,B-ToReach
633,106,potresti,O
634,106,recarti,O
635,106,in,O
636,106,corrispondenza,O
637,106,di,O
638,106,questo,O
639,106,cespo,B-ToReach
640,107,puoi,O
641,107,raggiungere,O
642,107,questo,O
643,107,cespo,B-ToReach
644,108,potresti,O
645,108,raggiungere,O
646,108,questo,O
647,108,cespo,B-ToReach
648,109,raggiungi,O
649,109,quel,O
650,109,cespo,B-ToReach
651,110,vai,O
652,110,dove,O
653,110,sta,O
654,110,quel,O
655,110,cespo,B-ToReach
656,111,vai,O
657,111,dove,O
658,111,si,O
659,111,trova,O
660,111,quel,O
661,111,cespo,B-ToReach
662,112,vai,O
663,112,in,O
664,112,corrispondenza,O
665,112,di,O
666,112,quel,O
667,112,cespo,B-ToReach
668,113,recati,O
669,113,dove,O
670,113,sta,O
671,113,quel,O
672,113,cespo,B-ToReach
673,114,recati,O
674,114,dove,O
675,114,si,O
676,114,trova,O
677,114,quel,O
678,114,cespo,B-ToReach
679,115,recati,O
680,115,in,O
681,115,corrispondenza,O
682,115,di,O
683,115,quel,O
684,115,cespo,B-ToReach
685,116,andresti,O
686,116,dove,O
687,116,sta,O
688,116,quel,O
689,116,cespo,B-ToReach
690,117,andresti,O
691,117,dove,O
692,117,si,O
693,117,trova,O
694,117,quel,O
695,117,cespo,B-ToReach
696,118,andresti,O
697,118,in,O
698,118,corrispondenza,O
699,118,di,O
700,118,quel,O
701,118,cespo,B-ToReach
702,119,ti,O
703,119,recheresti,O
704,119,dove,O
705,119,sta,O
706,119,quel,O
707,119,cespo,B-ToReach
708,120,ti,O
709,120,recheresti,O
710,120,dove,O
711,120,si,O
712,120,trova,O
713,120,quel,O
714,120,cespo,B-ToReach
715,121,ti,O
716,121,recheresti,O
717,121,in,O
718,121,corrispondenza,O
719,121,di,O
720,121,quel,O
721,121,cespo,B-ToReach
722,122,puoi,O
723,122,andare,O
724,122,dove,O
725,122,sta,O
726,122,quel,O
727,122,cespo,B-ToReach
728,123,puoi,O
729,123,andare,O
730,123,dove,O
731,123,si,O
732,123,trova,O
733,123,quel,O
734,123,cespo,B-ToReach
735,124,puoi,O
736,124,andare,O
737,124,in,O
738,124,corrispondenza,O
739,124,di,O
740,124,quel,O
741,124,cespo,B-ToReach
742,125,potresti,O
743,125,andare,O
744,125,dove,O
745,125,sta,O
746,125,quel,O
747,125,cespo,B-ToReach
748,126,potresti,O
749,126,andare,O
750,126,dove,O
751,126,si,O
752,126,trova,O
753,126,quel,O
754,126,cespo,B-ToReach
755,127,potresti,O
756,127,andare,O
757,127,in,O
758,127,corrispondenza,O
759,127,di,O
760,127,quel,O
761,127,cespo,B-ToReach
762,128,puoi,O
763,128,recarti,O
764,128,dove,O
765,128,sta,O
766,128,quel,O
767,128,cespo,B-ToReach
768,129,puoi,O
769,129,recarti,O
770,129,dove,O
771,129,si,O
772,129,trova,O
773,129,quel,O
774,129,cespo,B-ToReach
775,130,puoi,O
776,130,recarti,O
777,130,in,O
778,130,corrispondenza,O
779,130,di,O
780,130,quel,O
781,130,cespo,B-ToReach
782,131,potresti,O
783,131,recarti,O
784,131,dove,O
785,131,sta,O
786,131,quel,O
787,131,cespo,B-ToReach
788,132,potresti,O
789,132,recarti,O
790,132,dove,O
791,132,si,O
792,132,trova,O
793,132,quel,O
794,132,cespo,B-ToReach
795,133,potresti,O
796,133,recarti,O
797,133,in,O
798,133,corrispondenza,O
799,133,di,O
800,133,quel,O
801,133,cespo,B-ToReach
802,134,puoi,O
803,134,raggiungere,O
804,134,quel,O
805,134,cespo,B-ToReach
806,135,potresti,O
807,135,raggiungere,O
808,135,quel,O
809,135,cespo,B-ToReach
810,136,raggiungi,O
811,136,il,O
812,136,cespo,B-ToReach
813,137,vai,O
814,137,dove,O
815,137,sta,O
816,137,il,O
817,137,cespo,B-ToReach
818,138,vai,O
819,138,dove,O
820,138,si,O
821,138,trova,O
822,138,il,O
823,138,cespo,B-ToReach
824,139,vai,O
825,139,in,O
826,139,corrispondenza,O
827,139,di,O
828,139,il,O
829,139,cespo,B-ToReach
830,140,recati,O
831,140,dove,O
832,140,sta,O
833,140,il,O
834,140,cespo,B-ToReach
835,141,recati,O
836,141,dove,O
837,141,si,O
838,141,trova,O
839,141,il,O
840,141,cespo,B-ToReach
841,142,recati,O
842,142,in,O
843,142,corrispondenza,O
844,142,di,O
845,142,il,O
846,142,cespo,B-ToReach
847,143,andresti,O
848,143,dove,O
849,143,sta,O
850,143,il,O
851,143,cespo,B-ToReach
852,144,andresti,O
853,144,dove,O
854,144,si,O
855,144,trova,O
856,144,il,O
857,144,cespo,B-ToReach
858,145,andresti,O
859,145,in,O
860,145,corrispondenza,O
861,145,di,O
862,145,il,O
863,145,cespo,B-ToReach
864,146,ti,O
865,146,recheresti,O
866,146,dove,O
867,146,sta,O
868,146,il,O
869,146,cespo,B-ToReach
870,147,ti,O
871,147,recheresti,O
872,147,dove,O
873,147,si,O
874,147,trova,O
875,147,il,O
876,147,cespo,B-ToReach
877,148,ti,O
878,148,recheresti,O
879,148,in,O
880,148,corrispondenza,O
881,148,di,O
882,148,il,O
883,148,cespo,B-ToReach
884,149,puoi,O
885,149,andare,O
886,149,dove,O
887,149,sta,O
888,149,il,O
889,149,cespo,B-ToReach
890,150,puoi,O
891,150,andare,O
892,150,dove,O
893,150,si,O
894,150,trova,O
895,150,il,O
896,150,cespo,B-ToReach
897,151,puoi,O
898,151,andare,O
899,151,in,O
900,151,corrispondenza,O
901,151,di,O
902,151,il,O
903,151,cespo,B-ToReach
904,152,potresti,O
905,152,andare,O
906,152,dove,O
907,152,sta,O
908,152,il,O
909,152,cespo,B-ToReach
910,153,potresti,O
911,153,andare,O
912,153,dove,O
913,153,si,O
914,153,trova,O
915,153,il,O
916,153,cespo,B-ToReach
917,154,potresti,O
918,154,andare,O
919,154,in,O
920,154,corrispondenza,O
921,154,di,O
922,154,il,O
923,154,cespo,B-ToReach
924,155,puoi,O
925,155,recarti,O
926,155,dove,O
927,155,sta,O
928,155,il,O
929,155,cespo,B-ToReach
930,156,puoi,O
931,156,recarti,O
932,156,dove,O
933,156,si,O
934,156,trova,O
935,156,il,O
936,156,cespo,B-ToReach
937,157,puoi,O
938,157,recarti,O
939,157,in,O
940,157,corrispondenza,O
941,157,di,O
942,157,il,O
943,157,cespo,B-ToReach
944,158,potresti,O
945,158,recarti,O
946,158,dove,O
947,158,sta,O
948,158,il,O
949,158,cespo,B-ToReach
950,159,potresti,O
951,159,recarti,O
952,159,dove,O
953,159,si,O
954,159,trova,O
955,159,il,O
956,159,cespo,B-ToReach
957,160,potresti,O
958,160,recarti,O
959,160,in,O
960,160,corrispondenza,O
961,160,di,O
962,160,il,O
963,160,cespo,B-ToReach
964,161,puoi,O
965,161,raggiungere,O
966,161,il,O
967,161,cespo,B-ToReach
968,162,potresti,O
969,162,raggiungere,O
970,162,il,O
971,162,cespo,B-ToReach
972,163,raggiungi,O
973,163,questa,O
974,163,palla,B-ToReach
975,164,vai,O
976,164,dove,O
977,164,sta,O
978,164,questa,O
979,164,palla,B-ToReach
980,165,vai,O
981,165,dove,O
982,165,si,O
983,165,trova,O
984,165,questa,O
985,165,palla,B-ToReach
986,166,vai,O
987,166,in,O
988,166,corrispondenza,O
989,166,di,O
990,166,questa,O
991,166,palla,B-ToReach
992,167,recati,O
993,167,dove,O
994,167,sta,O
995,167,questa,O
996,167,palla,B-ToReach
997,168,recati,O
998,168,dove,O
999,168,si,O
1000,168,trova,O
1001,168,questa,O
1002,168,palla,B-ToReach
1003,169,recati,O
1004,169,in,O
1005,169,corrispondenza,O
1006,169,di,O
1007,169,questa,O
1008,169,palla,B-ToReach
1009,170,andresti,O
1010,170,dove,O
1011,170,sta,O
1012,170,questa,O
1013,170,palla,B-ToReach
1014,171,andresti,O
1015,171,dove,O
1016,171,si,O
1017,171,trova,O
1018,171,questa,O
1019,171,palla,B-ToReach
1020,172,andresti,O
1021,172,in,O
1022,172,corrispondenza,O
1023,172,di,O
1024,172,questa,O
1025,172,palla,B-ToReach
1026,173,ti,O
1027,173,recheresti,O
1028,173,dove,O
1029,173,sta,O
1030,173,questa,O
1031,173,palla,B-ToReach
1032,174,ti,O
1033,174,recheresti,O
1034,174,dove,O
1035,174,si,O
1036,174,trova,O
1037,174,questa,O
1038,174,palla,B-ToReach
1039,175,ti,O
1040,175,recheresti,O
1041,175,in,O
1042,175,corrispondenza,O
1043,175,di,O
1044,175,questa,O
1045,175,palla,B-ToReach
1046,176,puoi,O
1047,176,andare,O
1048,176,dove,O
1049,176,sta,O
1050,176,questa,O
1051,176,palla,B-ToReach
1052,177,puoi,O
1053,177,andare,O
1054,177,dove,O
1055,177,si,O
1056,177,trova,O
1057,177,questa,O
1058,177,palla,B-ToReach
1059,178,puoi,O
1060,178,andare,O
1061,178,in,O
1062,178,corrispondenza,O
1063,178,di,O
1064,178,questa,O
1065,178,palla,B-ToReach
1066,179,potresti,O
1067,179,andare,O
1068,179,dove,O
1069,179,sta,O
1070,179,questa,O
1071,179,palla,B-ToReach
1072,180,potresti,O
1073,180,andare,O
1074,180,dove,O
1075,180,si,O
1076,180,trova,O
1077,180,questa,O
1078,180,palla,B-ToReach
1079,181,potresti,O
1080,181,andare,O
1081,181,in,O
1082,181,corrispondenza,O
1083,181,di,O
1084,181,questa,O
1085,181,palla,B-ToReach
1086,182,puoi,O
1087,182,recarti,O
1088,182,dove,O
1089,182,sta,O
1090,182,questa,O
1091,182,palla,B-ToReach
1092,183,puoi,O
1093,183,recarti,O
1094,183,dove,O
1095,183,si,O
1096,183,trova,O
1097,183,questa,O
1098,183,palla,B-ToReach
1099,184,puoi,O
1100,184,recarti,O
1101,184,in,O
1102,184,corrispondenza,O
1103,184,di,O
1104,184,questa,O
1105,184,palla,B-ToReach
1106,185,potresti,O
1107,185,recarti,O
1108,185,dove,O
1109,185,sta,O
1110,185,questa,O
1111,185,palla,B-ToReach
1112,186,potresti,O
1113,186,recarti,O
1114,186,dove,O
1115,186,si,O
1116,186,trova,O
1117,186,questa,O
1118,186,palla,B-ToReach
1119,187,potresti,O
1120,187,recarti,O
1121,187,in,O
1122,187,corrispondenza,O
1123,187,di,O
1124,187,questa,O
1125,187,palla,B-ToReach
1126,188,puoi,O
1127,188,raggiungere,O
1128,188,questa,O
1129,188,palla,B-ToReach
1130,189,potresti,O
1131,189,raggiungere,O
1132,189,questa,O
1133,189,palla,B-ToReach
1134,190,raggiungi,O
1135,190,quella,O
1136,190,palla,B-ToReach
1137,191,vai,O
1138,191,dove,O
1139,191,sta,O
1140,191,quella,O
1141,191,palla,B-ToReach
1142,192,vai,O
1143,192,dove,O
1144,192,si,O
1145,192,trova,O
1146,192,quella,O
1147,192,palla,B-ToReach
1148,193,vai,O
1149,193,in,O
1150,193,corrispondenza,O
1151,193,di,O
1152,193,quella,O
1153,193,palla,B-ToReach
1154,194,recati,O
1155,194,dove,O
1156,194,sta,O
1157,194,quella,O
1158,194,palla,B-ToReach
1159,195,recati,O
1160,195,dove,O
1161,195,si,O
1162,195,trova,O
1163,195,quella,O
1164,195,palla,B-ToReach
1165,196,recati,O
1166,196,in,O
1167,196,corrispondenza,O
1168,196,di,O
1169,196,quella,O
1170,196,palla,B-ToReach
1171,197,andresti,O
1172,197,dove,O
1173,197,sta,O
1174,197,quella,O
1175,197,palla,B-ToReach
1176,198,andresti,O
1177,198,dove,O
1178,198,si,O
1179,198,trova,O
1180,198,quella,O
1181,198,palla,B-ToReach
1182,199,andresti,O
1183,199,in,O
1184,199,corrispondenza,O
1185,199,di,O
1186,199,quella,O
1187,199,palla,B-ToReach
1188,200,ti,O
1189,200,recheresti,O
1190,200,dove,O
1191,200,sta,O
1192,200,quella,O
1193,200,palla,B-ToReach
1194,201,ti,O
1195,201,recheresti,O
1196,201,dove,O
1197,201,si,O
1198,201,trova,O
1199,201,quella,O
1200,201,palla,B-ToReach
1201,202,ti,O
1202,202,recheresti,O
1203,202,in,O
1204,202,corrispondenza,O
1205,202,di,O
1206,202,quella,O
1207,202,palla,B-ToReach
1208,203,puoi,O
1209,203,andare,O
1210,203,dove,O
1211,203,sta,O
1212,203,quella,O
1213,203,palla,B-ToReach
1214,204,puoi,O
1215,204,andare,O
1216,204,dove,O
1217,204,si,O
1218,204,trova,O
1219,204,quella,O
1220,204,palla,B-ToReach
1221,205,puoi,O
1222,205,andare,O
1223,205,in,O
1224,205,corrispondenza,O
1225,205,di,O
1226,205,quella,O
1227,205,palla,B-ToReach
1228,206,potresti,O
1229,206,andare,O
1230,206,dove,O
1231,206,sta,O
1232,206,quella,O
1233,206,palla,B-ToReach
1234,207,potresti,O
1235,207,andare,O
1236,207,dove,O
1237,207,si,O
1238,207,trova,O
1239,207,quella,O
1240,207,palla,B-ToReach
1241,208,potresti,O
1242,208,andare,O
1243,208,in,O
1244,208,corrispondenza,O
1245,208,di,O
1246,208,quella,O
1247,208,palla,B-ToReach
1248,209,puoi,O
1249,209,recarti,O
1250,209,dove,O
1251,209,sta,O
1252,209,quella,O
1253,209,palla,B-ToReach
1254,210,puoi,O
1255,210,recarti,O
1256,210,dove,O
1257,210,si,O
1258,210,trova,O
1259,210,quella,O
1260,210,palla,B-ToReach
1261,211,puoi,O
1262,211,recarti,O
1263,211,in,O
1264,211,corrispondenza,O
1265,211,di,O
1266,211,quella,O
1267,211,palla,B-ToReach
1268,212,potresti,O
1269,212,recarti,O
1270,212,dove,O
1271,212,sta,O
1272,212,quella,O
1273,212,palla,B-ToReach
1274,213,potresti,O
1275,213,recarti,O
1276,213,dove,O
1277,213,si,O
1278,213,trova,O
1279,213,quella,O
1280,213,palla,B-ToReach
1281,214,potresti,O
1282,214,recarti,O
1283,214,in,O
1284,214,corrispondenza,O
1285,214,di,O
1286,214,quella,O
1287,214,palla,B-ToReach
1288,215,puoi,O
1289,215,raggiungere,O
1290,215,quella,O
1291,215,palla,B-ToReach
1292,216,potresti,O
1293,216,raggiungere,O
1294,216,quella,O
1295,216,palla,B-ToReach
1296,217,raggiungi,O
1297,217,la,O
1298,217,palla,B-ToReach
1299,218,vai,O
1300,218,dove,O
1301,218,sta,O
1302,218,la,O
1303,218,palla,B-ToReach
1304,219,vai,O
1305,219,dove,O
1306,219,si,O
1307,219,trova,O
1308,219,la,O
1309,219,palla,B-ToReach
1310,220,vai,O
1311,220,in,O
1312,220,corrispondenza,O
1313,220,di,O
1314,220,la,O
1315,220,palla,B-ToReach
1316,221,recati,O
1317,221,dove,O
1318,221,sta,O
1319,221,la,O
1320,221,palla,B-ToReach
1321,222,recati,O
1322,222,dove,O
